"Id","ListingCreationYear","Occupation","mean_loanOriginalAmount","median_loanOriginalAmount","sum_loanOriginalAmount","mean_amountDelinquent","median_amountDelinquent","sum_amountDelinquent","mean_investors","median_investors","sum_investors","mean_prosperScore","median_prosperScore","sum_prosperScore","mean_estimatedLoss","median_estimatedLoss","sum_estimatedLoss","mean_estimatedReturn","median_estimatedReturn","sum_estimatedReturn","mean_statedMonthlyIncome","median_statedMonthlyIncome","sum_statedMonthlyIncome","mean_creditScoreRangeLower","median_creditScoreRangeLower","sum_creditScoreRangeLower","mean_monthlyLoanPayment","median_monthlyLoanPayment","sum_monthlyLoanPayment","mean_borrowerAPR","median_borrowerAPR","sum_borrowerAPR","mean_borrowerRate","median_borrowerRate","sum_borrowerRate","mean_debtToIncomeRatio","median_debtToIncomeRatio","sum_debtToIncomeRatio","mean_term","median_term","sum_term","count"
"28",2006,"Landscaping",3725,3100,14900,NA,NA,NA,49.5,48.5,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,1942.91666675,1823.3333335,7771.666667,580,580,2320,131.8075,111.535,527.23,0.1974525,0.192185,0.78981,0.1855,0.181,0.742,0.195,0.17,0.78,36,36,144,4
"29",2006,"Medical Technician",4569.72727272727,3000,150801,NA,NA,NA,63,42,2079,NA,NA,NA,NA,NA,NA,NA,NA,NA,3397.11111115152,2960,112104.666668,590.909090909091,560,19500,170.546363636364,117.74,5628.03,0.231617878787879,0.24054,7.64339,0.222857575757576,0.23,7.3543,0.236969696969697,0.18,7.82,36,36,1188,33
"30",2006,"Military Enlisted",4325.67647058824,3000,294146,NA,NA,NA,61,39,4148,NA,NA,NA,NA,NA,NA,NA,NA,NA,3587.43014702941,3487.5,243945.249998,612.058823529412,600,41620,152.378970588235,107.51,10361.77,0.197278382352941,0.20735,13.41493,0.188298529411765,0.2,12.8043,0.288382352941176,0.24,19.61,36,36,2448,68
"31",2006,"Military Officer",5005.5,4000,50055,NA,NA,NA,89.4,55,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,6999.725,7022.3333335,69997.25,714,710,7140,166.426,135.71,1664.26,0.123974,0.12173,1.23974,0.11682,0.11475,1.1682,0.266,0.275,2.66,36,36,360,10
"32",2006,"Nurse's Aide",2566.13636363636,2000,56455,NA,NA,NA,30.5,25,671,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045.39772722727,1700,44998.749999,539.090909090909,500,11860,92.1981818181818,65.21,2028.36,0.225591818181818,0.22141,4.96302,0.213940909090909,0.214,4.7067,0.199090909090909,0.15,4.38,36,36,792,22
"33",2006,"Nurse (LPN)",2973.07692307692,3000,38650,NA,NA,NA,59.2307692307692,29,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,3011.20512830769,3000,39145.666668,580,600,7540,110.993076923077,106.13,1442.91,0.225762307692308,0.22439,2.93491,0.216538461538462,0.212,2.815,0.216153846153846,0.13,2.81,36,36,468,13
"34",2006,"Nurse (RN)",5460.81081081081,5000,202050,NA,NA,NA,69.8648648648649,47,2585,NA,NA,NA,NA,NA,NA,NA,NA,NA,5542.490991,5460,205072.166667,628.648648648649,640,23260,196.767027027027,170.29,7280.38,0.203406216216216,0.19835,7.52603,0.194002702702703,0.19,7.1781,0.200540540540541,0.2,7.42,36,36,1332,37
"35",2006,"Other",5260.54827586207,3003,6102236,NA,NA,NA,66.6284482758621,39,77289,NA,NA,NA,NA,NA,NA,NA,NA,NA,3989.58879310086,3083.333333,4627922.999997,NA,NA,NA,187.860017241379,124.09,217917.62,0.205307870689655,0.20433,238.15713,0.196056551724138,0.19615,227.4256,NA,NA,NA,36,36,41760,1160
"36",2006,"Pharmacist",12125,10000,48500,NA,NA,NA,190.25,156,761,NA,NA,NA,NA,NA,NA,NA,NA,NA,9979.1666665,8666.6666665,39916.666666,735,750,2940,408.1075,327.615,1632.43,0.14554,0.11681,0.58216,0.138675,0.10985,0.5547,0.1,0.08,0.4,36,36,144,4
"37",2006,"Pilot - Private/Commercial",4416.66666666667,3250,26500,NA,NA,NA,69,41,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,7270.97222233333,5507.541667,43625.833334,606.666666666667,590,3640,156.103333333333,122.03,936.62,0.18746,0.192235,1.12476,0.178316666666667,0.18495,1.0699,0.185,0.19,1.11,36,36,216,6
"38",2006,"Police Officer/Correction Officer",5977.45161290323,3200,185301,NA,NA,NA,69.5806451612903,28,2157,NA,NA,NA,NA,NA,NA,NA,NA,NA,4288.98924732258,3916.666667,132958.666667,619.354838709677,600,19200,207.205161290323,120.71,6423.36,0.198297096774194,0.1973,6.14721,0.189303225806452,0.19,5.8684,0.26,0.24,8.06,36,36,1116,31
"39",2006,"Postal Service",6065.84210526316,5000,115251,NA,NA,NA,110,70,2090,NA,NA,NA,NA,NA,NA,NA,NA,NA,4288.24561394737,4000,81476.666665,614.736842105263,640,11680,215.281578947368,160.16,4090.35,0.178707368421053,0.16717,3.39544,0.1708,0.16,3.2452,0.162631578947368,0.11,3.09,36,36,684,19
"40",2006,"Principal",5500.25,5500.5,22001,NA,NA,NA,84.75,81.5,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,8530.33333325,8361.5,34121.333333,745,790,2980,163.15,148.895,652.6,0.145235,0.10692,0.58094,0.13525,0.1,0.541,0.095,0.045,0.38,36,36,144,4
"41",2006,"Professional",5685.45098039216,4000,2609622,NA,NA,NA,80.4596949891068,52,36931,NA,NA,NA,NA,NA,NA,NA,NA,NA,5766.63398692157,4750,2646884.999997,619.607843137255,620,284400,198.681764705882,141.52,91194.93,0.192781459694989,0.18726,88.48669,0.184277559912854,0.18,84.5834,0.200305010893246,0.17,91.94,36,36,16524,459
"42",2006,"Professor",6138.05882352941,5000,104347,NA,NA,NA,92.5294117647059,82,1573,NA,NA,NA,NA,NA,NA,NA,NA,NA,5969.60294111765,5750,101483.249999,655.294117647059,620,11140,222.921764705882,157.05,3789.67,0.195925294117647,0.20232,3.33073,0.188435294117647,0.195,3.2034,0.173529411764706,0.17,2.95,36,36,612,17
"43",2006,"Psychologist",6849.66666666667,7999,20549,NA,NA,NA,107,77,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,5361.47222233333,4441.666667,16084.416667,733.333333333333,780,2200,241.513333333333,254.33,724.54,0.143713333333333,0.09678,0.43114,0.136633333333333,0.0899,0.4099,0.276666666666667,0.2,0.83,36,36,108,3
"44",2006,"Realtor",6978.24444444444,5000,314021,NA,NA,NA,64.9111111111111,47,2921,NA,NA,NA,NA,NA,NA,NA,NA,NA,6705.50740735556,5250,301747.833331,629.333333333333,620,28320,262.112666666667,178.26,11795.07,0.218182888888889,0.21488,9.81823,0.209897777777778,0.2075,9.4454,0.272666666666667,0.21,12.27,36,36,1620,45
"45",2006,"Religious",2940,3000,14700,NA,NA,NA,67,43,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,2244.5166666,2083.333333,11222.583333,628,640,3140,103.4,100.63,517,0.190158,0.16115,0.95079,0.18178,0.154,0.9089,0.392,0.18,1.96,36,36,180,5
"46",2006,"Retail Management",4687.44086021505,3000,435932,NA,NA,NA,64.010752688172,42,5953,NA,NA,NA,NA,NA,NA,NA,NA,NA,5327.97670252688,3333.333333,495501.833335,586.451612903226,600,54540,171.525053763441,118.88,15951.83,0.205942365591398,0.20029,19.15264,0.196631182795699,0.19,18.2867,NA,NA,NA,36,36,3348,93
"47",2006,"Sales - Commission",5590.61271676301,4000,967176,NA,NA,NA,81.8901734104046,57,14167,NA,NA,NA,NA,NA,NA,NA,NA,NA,5645.4619460578,4583.333333,976664.916668,603.468208092485,620,104400,199.118612716763,148.65,34447.52,0.198315780346821,0.18824,34.30863,0.189386705202312,0.1775,32.7639,NA,NA,NA,36,36,6228,173
"48",2006,"Sales - Retail",3491.17355371901,2550,422432,NA,NA,NA,45.9504132231405,29,5560,NA,NA,NA,NA,NA,NA,NA,NA,NA,2718.87052341322,2291.666667,328983.333333,550.247933884297,540,66580,126.946446280992,106.86,15360.52,0.217068595041322,0.22744,26.2653,0.20703305785124,0.22,25.051,NA,NA,NA,36,36,4356,121
"49",2006,"Scientist",7224.28571428571,3549.5,101140,NA,NA,NA,77.7142857142857,28.5,1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,5351.41071435714,5001.4166665,74919.750001,597.142857142857,660,8360,257.273571428571,136.19,3601.83,0.205669285714286,0.204835,2.87937,0.197071428571429,0.1975,2.759,NA,NA,NA,36,36,504,14
"50",2006,"Skilled Labor",3547.55,3000,283804,NA,NA,NA,51.5625,34.5,4125,NA,NA,NA,NA,NA,NA,NA,NA,NA,3178.9104166625,2916.666667,254312.833333,537.5,580,43000,121.512875,105.675,9721.03,0.21129,0.21684,16.9032,0.201705,0.2,16.1364,NA,NA,NA,36,36,2880,80
"51",2006,"Social Worker",3340,2775,40080,NA,NA,NA,60.3333333333333,48.5,724,NA,NA,NA,NA,NA,NA,NA,NA,NA,4006.451389,3225.416667,48077.416668,628.333333333333,620,7540,118.760833333333,107.84,1425.13,0.177726666666667,0.17947,2.13272,0.168616666666667,0.16745,2.0234,0.210833333333333,0.16,2.53,36,36,432,12
"52",2006,"Student - College Freshman",1000,1000,1000,NA,NA,NA,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2083.333333,2083.333333,2083.333333,520,520,520,0,0,0,0.21857,0.21857,0.21857,0.2,0.2,0.2,0.06,0.06,0.06,36,36,36,1
"53",2006,"Student - College Graduate Student",3414.42857142857,3000,71703,NA,NA,NA,60.0952380952381,47,1262,NA,NA,NA,NA,NA,NA,NA,NA,NA,1813.10317461905,2000,38075.166667,650.47619047619,720,13660,111.442380952381,95.22,2340.29,0.159670476190476,0.127,3.35308,0.150409523809524,0.12,3.1586,NA,NA,NA,36,36,756,21
"54",2006,"Student - College Junior",2747.15384615385,2525,71426,NA,NA,NA,42.7307692307692,39,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038.60256411538,904.1666665,27003.666667,583.076923076923,600,15160,90.2834615384615,84.17,2347.37,0.194131153846154,0.18465,5.04741,0.18405,0.1774,4.7853,NA,NA,NA,36,36,936,26
"55",2006,"Student - College Senior",2823.19230769231,2550,73403,NA,NA,NA,52.8461538461538,43.5,1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,1345.52884607692,1125,34983.749998,636.923076923077,630,16560,99.5276923076923,85.825,2587.72,0.173886153846154,0.167255,4.52104,0.163076923076923,0.15725,4.24,NA,NA,NA,36,36,936,26
"56",2006,"Student - College Sophomore",2235.1,1125.5,22351,NA,NA,NA,31,27,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031.6666666,1000,10316.666666,516,560,5160,83.867,41.23,838.67,0.19095,0.17416,1.9095,0.17703,0.16145,1.7703,0.214,0.195,2.14,36,36,360,10
"57",2006,"Student - Community College",2850,3000,8550,NA,NA,NA,46,27,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138.888889,1000,3416.666667,520,480,1560,111.606666666667,106.86,334.82,0.246866666666667,0.29776,0.7406,0.239333333333333,0.29,0.718,0.22,0.21,0.66,36,36,108,3
"58",2006,"Student - Technical School",2900,3000,14500,NA,NA,NA,30.6,22,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,981.2,960,4906,640,620,3200,95.382,104.76,476.91,0.227804,0.26059,1.13902,0.22,0.253,1.1,NA,NA,NA,36,36,180,5
"59",2006,"Teacher",4402.39090909091,3000,484263,NA,NA,NA,63.1090909090909,33.5,6942,NA,NA,NA,NA,NA,NA,NA,NA,NA,3626.4068182,3541.6666665,398904.750002,610.545454545455,600,67160,155.394545454545,112.62,17093.4,0.210593090909091,0.209445,23.16524,0.201490909090909,0.2,22.164,0.399636363636364,0.22,43.96,36,36,3960,110
"60",2006,"Teacher's Aide",5108.44444444444,3001,45976,NA,NA,NA,58.2222222222222,45,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,2261.80555544444,1750,20356.249999,637.777777777778,660,5740,182.823333333333,125.76,1645.41,0.201947777777778,0.19914,1.81753,0.193444444444444,0.19,1.741,1.37888888888889,0.2,12.41,36,36,324,9
"61",2006,"Tradesman - Carpenter",3500,3500,3500,NA,NA,NA,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,1000,540,540,540,146.67,146.67,146.67,0.29776,0.29776,0.29776,0.29,0.29,0.29,0.39,0.39,0.39,36,36,36,1
"62",2006,"Tradesman - Electrician",6214,7500,55926,NA,NA,NA,46,29,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,3482.02777777778,3000,31338.25,653.333333333333,660,5880,241.786666666667,276.82,2176.08,0.198143333333333,0.20232,1.78329,0.1894,0.195,1.7046,NA,NA,NA,36,36,324,9
"63",2006,"Tradesman - Mechanic",3985.41176470588,3000,67752,NA,NA,NA,62.5882352941176,41,1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,4182.94117641176,3293.333333,71109.999999,569.411764705882,600,9680,144.996470588235,106.28,2464.94,0.202508235294118,0.19981,3.44264,0.193082352941176,0.1925,3.2824,0.197647058823529,0.18,3.36,36,36,612,17
"64",2006,"Tradesman - Plumber",5300,5500,21200,NA,NA,NA,103,64,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,2149.1666665,1928.333333,8596.666666,640,620,2560,186.2525,205.26,745.01,0.1777425,0.194715,0.71097,0.16955,0.185,0.6782,0.1275,0.14,0.51,36,36,144,4
"65",2006,"Truck Driver",5255.3829787234,4000,247003,NA,NA,NA,66.0212765957447,45,3103,NA,NA,NA,NA,NA,NA,NA,NA,NA,3651.39007089362,3500,171615.333332,586.808510638298,600,27580,192.985744680851,158.33,9070.33,0.21980914893617,0.22091,10.33103,0.210646808510638,0.2135,9.9004,NA,NA,NA,36,36,1692,47
"66",2006,"Waiter/Waitress",4173.70588235294,3000,70953,NA,NA,NA,48.0588235294118,41,817,NA,NA,NA,NA,NA,NA,NA,NA,NA,2087.07843129412,2000,35480.333332,532.941176470588,600,9060,152.111176470588,117.62,2585.89,0.200367647058824,0.20735,3.40625,0.191552941176471,0.2,3.2564,NA,NA,NA,36,36,612,17
"67",2007,"",5045.95918367347,4550,247252,NA,NA,NA,91,65,4459,NA,NA,NA,NA,NA,NA,NA,NA,NA,4598.93197281633,4166.666667,225347.666668,623.673469387755,600,30560,171.927755102041,155.53,8424.46,0.178551632653061,0.16607,8.74903,0.170110204081633,0.1589,8.3354,0.206938775510204,0.19,10.14,36,36,1764,49
"68",2007,"Accountant/CPA",8006.61921708185,5000,2249860,NA,NA,NA,138.409252669039,101,38893,NA,NA,NA,NA,NA,NA,NA,NA,NA,5382.82117439502,4433.333333,1512572.750005,662.775800711744,660,186240,280.698896797153,195.04,78876.39,0.174523131672598,0.16987,49.041,0.165824911032028,0.16,46.5968,NA,NA,NA,36,36,10116,281
"69",2007,"Administrative Assistant",5497.76404494382,4000,1957204,NA,NA,NA,99.2050561797753,74.5,35317,NA,NA,NA,NA,NA,NA,NA,NA,NA,3054.53745318258,2916.666667,1087415.333333,612.134831460674,620,217920,196.038426966292,147.625,69789.68,0.205999101123596,0.205225,73.33568,0.19569297752809,0.19675,69.6667,NA,NA,NA,36,36,12816,356
"70",2007,"Analyst",7326.42676767677,5000,2901265,NA,NA,NA,140.222222222222,105.5,55528,NA,NA,NA,NA,NA,NA,NA,NA,NA,5464.41835015909,5000,2163909.666663,658.737373737374,660,260860,253.154292929293,188.435,100249.1,0.174475707070707,0.15954,69.09238,0.16527095959596,0.15,65.4473,NA,NA,NA,36,36,14256,396
"71",2007,"Architect",9176,7000,229400,NA,NA,NA,214.64,161,5366,NA,NA,NA,NA,NA,NA,NA,NA,NA,5375.25333336,4333.333333,134381.333334,652,660,16300,319.8204,230.67,7995.51,0.1744916,0.1627,4.36229,0.166244,0.1499,4.1561,0.716,0.2,17.9,36,36,900,25
"72",2007,"Attorney",9449.89873417722,8000,746542,NA,NA,NA,177.544303797468,152,14026,NA,NA,NA,NA,NA,NA,NA,NA,NA,10351.775316519,7416.666667,817790.250005,693.164556962025,700,54760,323.516455696203,281.02,25557.8,0.155532025316456,0.14809,12.28703,0.147149367088608,0.14,11.6248,NA,NA,NA,36,36,2844,79
"73",2007,"Biologist",6795.83333333333,3950,81550,NA,NA,NA,148.833333333333,123,1786,NA,NA,NA,NA,NA,NA,NA,NA,NA,4820.81250008333,4180.8333335,57849.750001,646.666666666667,620,7760,234.861666666667,152.175,2818.34,0.189771666666667,0.179675,2.27726,0.181091666666667,0.17245,2.1731,0.2925,0.195,3.51,36,36,432,12
"74",2007,"Bus Driver",6044.83333333333,4500,145076,NA,NA,NA,96.625,70.5,2319,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800.88541670833,2500,67221.250001,628.333333333333,630,15080,214.325833333333,158.11,5143.82,0.2096975,0.20484,5.03274,0.199,0.1975,4.776,NA,NA,NA,36,36,864,24
